SEQ,TIMESTAMP,BP10,BSize10,BP9,BSize9,BP8,BSize8,BP7,BSize7,BP6,BSize6,BP5,BSize5,BP4,BSize4,BP3,BSize3,BP2,BSize2,BP1,BSize1,AP1,ASize1,AP2,ASize2,AP3,ASize3,AP4,ASize4,AP5,ASize5,AP6,ASize6,AP7,ASize7,AP8,ASize8,AP9,ASize9,AP10,ASize10
75,2014-03-20 09:30:03.027,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.1,18800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
76,2014-03-20 09:30:03.029,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.4,86400,*,*,*,*,*,*,*,*,*,*
77,2014-03-20 09:30:03.082,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.2,50800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
78,2014-03-20 09:30:03.137,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.15,5600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
79,2014-03-20 09:30:03.192,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.2,44000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
80,2014-03-20 09:30:03.295,*,*,*,*,*,*,*,*,*,*,*,*,76,208800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
81,2014-03-20 09:30:03.308,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.2,47200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
82,2014-03-20 09:30:03.313,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.45,66400,*,*,*,*,*,*,*,*
83,2014-03-20 09:30:03.339,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.2,50000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
84,2014-03-20 09:30:03.352,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.2,49200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
