Seq_No	Time	Transaction_Price	Volume	Bid_Price	Bid_Size	Ask_Price	Ask_Size
11237	2014-03-21 14:10:58.542	*	*	76.3	54800	*	*
11238	2014-03-21 14:11:00.091	*	*	*	*	76.35	52400
11239	2014-03-21 14:11:01.243	*	*	76.3	55200	*	*
11240	2014-03-21 14:11:02.067	*	*	76.3	57600	*	*
11241	2014-03-21 14:11:02.719	*	*	76.3	60000	*	*
11242	2014-03-21 14:11:04.371	*	*	*	*	76.35	61200
11243	2014-03-21 14:11:05.461	*	*	76.3	46000	*	*
11244	2014-03-21 14:11:05.792	*	*	76.3	43200	*	*
11245	2014-03-21 14:11:05.795	*	*	76.3	40800	*	*
11246	2014-03-21 14:11:09.567	*	*	76.3	41200	*	*
11247	2014-03-21 14:11:11.753	76.35	400	*	*	*	*
11248	2014-03-21 14:11:11.753	*	*	*	*	76.35	60800
11249	2014-03-21 14:11:13.402	*	*	*	*	76.35	61200
11250	2014-03-21 14:11:15.486	*	*	76.3	55200	*	*
11251	2014-03-21 14:11:15.779	*	*	*	*	76.35	62400
11252	2014-03-21 14:11:16.219	*	*	76.3	60800	*	*
11253	2014-03-21 14:11:17.388	76.35	400	*	*	*	*
11254	2014-03-21 14:11:17.388	*	*	*	*	76.35	62000
11255	2014-03-21 14:11:17.757	76.35	400	*	*	*	*
11256	2014-03-21 14:11:17.757	*	*	*	*	76.35	61600
11257	2014-03-21 14:11:17.806	*	*	*	*	76.35	52800
11258	2014-03-21 14:11:22.051	*	*	76.3	64000	*	*
11259	2014-03-21 14:11:31.223	76.35	400	*	*	*	*
11260	2014-03-21 14:11:31.223	*	*	*	*	76.35	52400
11261	2014-03-21 14:11:41.616	76.35	400	*	*	*	*
11262	2014-03-21 14:11:41.616	*	*	*	*	76.35	52000
11263	2014-03-21 14:11:42.583	*	*	76.3	66000	*	*
11264	2014-03-21 14:11:45.030	76.35	400	*	*	*	*
11265	2014-03-21 14:11:45.030	*	*	*	*	76.35	51600
11266	2014-03-21 14:11:45.795	*	*	*	*	76.35	50400
11267	2014-03-21 14:11:45.857	*	*	*	*	76.35	51600
11268	2014-03-21 14:11:48.918	*	*	*	*	76.35	60400
11269	2014-03-21 14:11:54.400	76.35	800	*	*	*	*
11270	2014-03-21 14:11:54.400	*	*	*	*	76.35	59600
11271	2014-03-21 14:11:54.597	76.35	1200	*	*	*	*
11272	2014-03-21 14:11:54.597	*	*	*	*	76.35	58400
11273	2014-03-21 14:11:55.526	*	*	76.3	52000	*	*
